7626-95,6224-40,313881,いかないで,카아이 유키,,,가지마,소우타(想太)
7624-28,6210-20,732791,ニセモノ注意報,IA,,,가짜 주의보,150P
7633-93,XXX,670988,柑橘ネコぱんち,카가미네 린,,,감귤 고양이 펀치,미키토P
7629-02,6222-92,312451,ウミユリ海底譚,하츠네 미쿠,,,갯나리 해저담,n-buna
7604-32,6200-20,103485,弱虫モンブラン,GUMI,,,겁쟁이 몽블랑,DECO*27
7621-75,6211-80,722392,ケッペキショウ,GUMI,,,결벽증,스콧프
7624-90,6210-19,731790,孤独ノ隠レンボ,IA,,,고독한 숨바꼭질,150P
7621-90,6213-93,727170,告白予行練習,GUMI,,,고백 예행연습,HoneyWorks
7621-89,6213-94,727171,告白予行練習-another story-,카가미네 렌,,,고백 예행연습 -another story-,HoneyWorks
7634-80,4699-32,676192,告白ライバル宣言,GUMI,,,고백 라이벌 선언,HoneyWorks
7637-64,6241-18,683095,ゴーストルール,하츠네 미쿠,,,고스트 룰,DECO*27
7621-76,6211-95,722511,過食性アイドル症候群,"GUMI, MAYU",,,과식성: 아이돌 증후군,스즈무
7629-36,6221-27,312285,怪盗ピーター&ジェニイ,카가미네 린·렌,,,괴도 피터 & 제니,Nem
7626-66,6216-76,7626-66,怪盗Fの台本～消えたダイヤの謎～,"MEIKO, KAITO, 하츠네 미쿠, 카가미네 린·렌, 메구리네 루카, 카무이 가쿠포, GUMI, IA, MAYU",,,괴도 F의 대본 ~사라진 다이아몬드의 수수께끼~,"히토시즈쿠P, 야마△"
7624-98,6219-88,313881,それがあなたの幸せとしても,메구리네 루카,,,그게 당신의 행복이라 할지라도,Heavenz(ヘブンズP)
7634-42,XXX,672008,やめろ!聴くな!,유즈키 유카리,,,그만해! 듣지 마!,SLAVE.V-V-R
7636-10,6246-30,685596,グルカゴン,메구리네 루카,,,글루카곤,EZFG
5937-13,2818-96,738509,金曜日のおはよう,GUMI,,,금요일의 아침인사,HoneyWorks
4826-40,XXX,XXX,金曜日のおはよう -another story-,하츠네 미쿠,,,금요일의 아침인사 -another story-,HoneyWorks
7609-05,6204-06,145214,からくりピエロ,하츠네 미쿠,,,꼭두각시 피에로,40mP
7639-98,6244-43,686333,花瓶に触れた,v flower,,,꽃병에 닿았어,벌룬
7634-56,6234-54,672060,花吹雪リフレクト,GUMI,,,꽃보라 리플렉트,Last Note.
7623-24,6203-93,103435,夢桜,카가미네 린·렌,,,꿈벚꽃,히토시즈쿠P
7609-72,XXX,312780,夢喰い白黒バク,카가미네 렌,,,꿈을 먹는 흑백 맥/꿈을 먹는 흑백 바쿠,Nem
7620-78,XXX,722042,ゆめのかたち,"KAITO, MEIKO, 하츠네 미쿠, 카가미네 린·렌, 메구리네 루카, 카무이 가쿠포, GUMI",,,꿈의 형태,후와리P
7633-78,6217-80,736379,終わらない英雄の記憶,"GUMI, 카가미네 렌",,,끝나지 않은 영웅의 기억,HoneyWorks
7632-27,6225-86,313853,イノコリ先生,v flower,,,나머지 선생님,HoneyWorks
7631-88,6231-77,668993,蝶と花と蜘蛛,"카가미네 린·렌, VY2",,,나비와 꽃과 거미,"히토시즈쿠P, 야마△"
7639-54,XXX,691130,僕の歌をこの世で一番最後に聴いてくれる人は誰ですか,유즈키 유카리,,,나의 노래를 이 세상에서 가장 마지막으로 들어줄 사람은 누구인가요,SLAVE.V-V-R
7603-69,XXX,177918,私の時間,하츠네 미쿠,,,나의 시간,쿠치바시P
7632-45,XXX,XXX,僕の名前は,GUMI,,,나의 이름은,DECO*27
7630-38,XXX,734492,余所事,카가미네 린,,,남의 일,니오P
7636-85,6242-62,684066,僕がモンスターになった日,Fukase(VOCALOID),,,내가 몬스터가 된 날,레루리리
7632-53,2851-91,669759,アスノヨゾラ哨戒班,IA,,,내일의 밤하늘 초계반,Orangestar
7605-09,XXX,733903,またあした,하츠네 미쿠,,,내일 또 보자,후와리P
7607-30,XXX,101106,君の体温,하츠네 미쿠,,,너의 체온,쿠와가타P
4826-38,6217-88,736376,キミがまた歌いたくなる頃に。,GUMI,,,네가 다시 노래하고 싶어질 쯤에,HoneyWorks
XXX,6233-58,734177,ネコネコ☆スーパーフィーバーナイト,네코무라 이로하,,,네코네코☆슈퍼 피버 나이트,samfree
7625-76,6217-82,736377,君ガ空コソカナシケレ,"하츠네 미쿠, 토네 리온",,,네가 하늘이기에 슬퍼,HoneyWorks
7621-54,6211-98,721171,脳漿炸裂ガール,"하츠네 미쿠, GUMI",,,뇌장작렬 걸,레루리리
XXX,XXX,676539,ニュース 39,하츠네 미쿠,,,뉴스 39,Mitchie M
7621-36,6211-68,721658,おおかみは赤ずきんに恋をした,카가미네 린·렌,,,늑대는 빨간 모자를 사랑했다,"히토시즈쿠P, 야마△"
7626-01,6218-95,738007,ダヴィンチの告白,GUMI,,,다빈치의 고백,666
7614-49,XXX,722168,五番目のピエロ,카가미네 렌,,,다섯 번째 피에로,악의P
