28000ⓗ,43231,1925,T-POCKET
27959ⓗ,44074,가지마,소타
,,(いかないで),
28777,44206,갯나리 해저담,n-buna
,,(ウミユリ海底譚),
28745ⓗ,44187,검은 고양이,붉은 머리
,,(黒猫),
28370ⓗ,43348,겁쟁이 몽블랑,DECO*27
,,(弱虫モンブラン),
27788,43181,겉과 속의 러버즈,wowaka
,,(裏表ラバーズ),
28673,44135,결벽증,스코프
,,(ケッペキショウ),
27357,43525,꼭두각시 피에로,40mP
,,(からくりピエロ),
68026,XXX,꽃내림,n-buna
,,(花降らし),
28009,43975,고백 예행연습,HoneyWorks
,,(告白予行練習),
27958ⓗ,44063,고스트 룰,DECO*27
,,(ゴーストルール),
28812ⓗ,44233,공주열차,Orangestar
,,(空奏列車),
27911,44080,그것이 당신의 행복이라 할지라도,Heavenz
,,(それがあなたの幸せとしても),
28689,44146,금요일의 아침인사,HoneyWorks
,,(金曜日のおはよう),
28661,44126,나팔꽃 질 무렵에,짓푸스
,,(アサガオの散る頃に),
27984,44091,내일의 밤하늘 초계반,Orangestar
,,(アスノヨゾラ哨戒班),
68015,44394,너도 나쁜 사람이라 다행이야,피노키오피
,,(きみも悪い人でよかった),
26903,43061,노심융해,iroha
,,(炉心融解),
27977,44087,노래에 형태는 없지만,doriko
,,(歌に形はないけれど),
28305ⓗ,43583,뇌장작렬 걸,레루리리
,,(脳漿炸裂ガール),
28783ⓗ,44219,뇌내혁명 걸,MARETU
,,(脳内革命ガール),
68070,XXX,누군가의 심장이 될 수 있다면,유리이 카논
,,(だれかの心臓になれたなら),
28728,44176,누덕누덕 스타카토,토아
,,(ツギハギスタッカート),
28721ⓗ,44162,다홍빛 한 잎,흑토끼P
,,(紅一葉),
28939,XXX,달려,KEI
,,(走れ),
28181ⓗ,43733,달맞이 리사이틀,진
,,(オツキミリサイタル),
26965,43164,댄싱☆사무라이,카니미소P
,,(ダンシング☆サムライ),
68096,XXX,댄스 로봇 댄스,나유탄 성인
,,(ダンスロボットダンス),
26923,43093,더블 래리어트,아고아니키
,,(ダブルラリアット),
28229ⓗ,43855,도넛 홀,하치
,,(ドーナツホール),
27324,43503,도쿄 테디베어,Neru
,,(東京テディベア),
68108,44449,독점욕,DECO*27
,,(毒占欲),
68032,XXX,동경 캐스터,HarryP
,,(東京キャスター),
68039,44400,라이어 댄스,DECO*27
,,(ライアーダンス),
27030,43113,로미오와 신데렐라,doriko
,,(ロミオとシンデレラ),
28283ⓗ,43653,로스타임 메모리,진
,,(ロスタイムメモリー),
27670,43644,로스트원의 호곡,Neru
,,(ロストワンの号哭),
28961,XXX,로키,미키토P
,,(ロキ),
27239,43292,롤링 걸,wowaka
,,(ローリンガール),
27031,43185,루카루카★나이트 피버,samfree
,,(ルカルカ★ナイトフィーバー),
26939,43116,리그렛 메시지,mothy_악의P
,,(リグレットメッセージ),
68052,44397,리버서블 캠페인,DECO*27
,,(リバーシブル・キャンペーン),
28269ⓗ,43443,마트료시카,하치
,,(マトリョシカ),
27759,43169,마음,트라볼타
,,(ココロ),
27906,44050,마음탓,쵸쵸P
,,(心做し),
28676,44132,망상감상대상연맹,DECO*27
,,(妄想感傷代償連盟),
28322ⓗ,43875,망상세,DECO*27
,,(妄想税),
28847ⓗ,44255,메리 배드 엔드,마후마후
,,(メリーバッドエンド),
28781ⓗ,44214,메류,n-buna
